Country,Daily Tests,Daily Tests per 100000 people,Pop density per sq. km,Urban Population (%),Start Date of Quarantine/Lockdown,Start Date of Schools Closure,Start Date of Public Place Restrictions,Hospital Beds per 1000 people,M-to-F Gender Ratio at Birth,M-to-F Gender Ratio at Age Grp 0 to 14,M-to-F Gender Ratio at Age Grp 14 to 25,M-to-F Gender Ratio at Age Grp 25 to 54,M-to-F Gender Ratio at Age Grp 54 to 65,M-to-F Gender Ratio at Age Grp 65+,Overall M-to-F Gender Ratio,Death rate from lung diseases per 100k people,Death rate from lung diseases per 100k people for female,Death rate from lung diseases per 100k people for male,Median Age,GDP 2018,Crime Index,Population 2020 (in thousands),Smokers in Population (%),% of Females in Population,Total Infected,Total Deaths,Total Recovered
Mexico,,,66,84,,,,1.5,1.05,1.05,1.03,0.93,0.85,0.82,0.96,27.85,23.43,33.14,28.3,1.2207E+12,52.51,128932.753,14,51.08928083,54346,5666,37325
Moldova,,,123,43,,,,5.8,1.06,1.06,1.07,1.01,0.85,0.62,0.95,17.13,9.21,29.88,36.7,11443671436,45.7,4033.963,24.2,52.03556312,6340,221,2508
Mongolia,,,2,67,,,,7,1.05,1.04,1.02,0.94,0.85,0.69,0.96,13.4,9.3,18.76,28.3,13066749138,57.76,3278.29,25.6,50.66954471,140,0,26
Montenegro,,,47,68,,,,4,1.06,0.97,0.83,1.17,1,0.66,0.99,17.6,10.7,26.47,40.7,5504166667,39.67,628.066,45.9,50.55901294,324,9,312
Morocco,,,83,64,,,,1.1,1.05,1.03,0.99,0.94,0.99,0.82,0.97,10.39,7.51,13.73,29.3,1.17921E+11,49.53,36910.56,23.4,50.40384729,7023,193,3901
Namibia,,,3,55,,,,2.7,1.03,1.02,0.99,0.91,0.82,0.75,0.96,43.86,29.39,65.58,21.2,14521711634,68.14,2540.905,21.4,51.55369032,16,0,13
Nepal,,,203,21,,,,0.3,1.04,1.07,1,0.82,0.95,0.86,0.95,100.75,94.59,107.64,24.1,29040398982,35.7,29136.808,22.8,54.53534333,402,2,37
Netherlands,6000,3.50163106,508,92,,3/15/2020,3/15/2020,4.7,1.05,1.05,1.04,1.01,0.99,0.82,0.98,26,22.74,30.36,42.6,9.13658E+11,28.54,17134.872,25.8,50.22094356,44449,5734,167
New Zealand,584,1.211057201,18,87,3/23/2020,,,2.8,1.05,1.05,1.06,1,0.95,0.86,0.99,21.88,19.66,24.61,37.9,2.04924E+11,40.89,4822.233,16,50.8377694,1503,21,1447
Nigeria,,,226,52,,,,0.3,1.06,1.05,1.04,1.05,0.95,0.91,1.04,21.14,19.65,22.75,18.4,3.9727E+11,64.64,206139.589,5.8,49.33611355,6401,192,1734
